Genre,Book Title,Description,Author
Science Fiction Cyberpunk Mystery,Neuromancer,A washed up hacker is hired for a dangerous digital heist in a futuristic world,William Gibson
Science Fiction Dystopia Society,Brave New World,A futuristic society sacrifices individuality for the illusion of happiness,Aldous Huxley
Mystery Detective Crime,The Hound of the Baskervilles,Sherlock Holmes investigates the legend of a supernatural hound terrorizing a family,Arthur Conan Doyle
Mystery Psychological Crime,The Murder of Roger Ackroyd,A detective unravels a complex case of deception and hidden motives,Agatha Christie
Thriller Political Conspiracy,The Bourne Identity,A man with amnesia discovers he is a trained assassin hunted by his own agency,Robert Ludlum
Thriller Espionage Action,Tinker Tailor Soldier Spy,A veteran spy hunts a mole inside British intelligence during the Cold War,John Le Carre
Historical Fiction Adventure Romance,Outlander,A nurse from World War Two is transported back to eighteenth century Scotland,Diana Gabaldon
Historical Fiction War Love,Atonement,A single lie changes the lives of three people during and after World War Two,Ian McEwan
Horror Psychological Thriller,The Shining,A family caretaking a remote hotel slowly descends into madness,Stephen King
Horror Gothic Suspense,Dracula,A group of people confront an ancient vampire spreading terror and death,Bram Stoker
Adventure Action Treasure,Treasure Island,A young boy embarks on a voyage with pirates to find buried treasure,Robert Louis Stevenson
Adventure Exploration Survival,Into the Wild,A young man leaves everything behind to live freely in the wilderness,Jon Krakauer
Drama Coming of Age Society,The Catcher in the Rye,A disillusioned teenager wanders through New York seeking truth and meaning,J D Salinger
Drama Family Identity,The Kite Runner,A man reflects on friendship guilt and redemption in war torn Afghanistan,Khaled Hosseini
Romance Historical Tragedy,Titanic Love Beyond Time,A love story unfolds aboard a doomed ocean liner,Julia Hall
Romance Fantasy Time Travel,The Time Travelers Wife,A man with a rare condition drifts through time while his wife waits for him,Audrey Niffenegger
Philosophy Life Meaning,Man Search for Meaning,A survivor of concentration camps reflects on hope and purpose,Viktor Frankl
Philosophy Mind Reality,Zen and the Art of Motorcycle Maintenance,A man explores philosophy technology and personal growth through travel,Robert Pirsig
Science Fiction AI Ethics,Do Androids Dream of Electric Sheep,A bounty hunter questions morality while hunting androids in a ruined world,Philip K Dick
Science Fiction Post Apocalypse,The Road,A father and son journey through a ruined world struggling to survive,Cormac McCarthy
Fantasy Romance War,A Court of Thorns and Roses,A mortal girl falls into a realm of faeries and dark magic,Sarah J Maas
Fantasy Mythology Epic,American Gods,A man becomes entangled in a war between old gods and new,Neil Gaiman
Thriller Crime Mystery,Shutter Island,A detective investigates a psychiatric hospital and uncovers shocking secrets,Dennis Lehane
Thriller Medical Science,Coma,A doctor uncovers a conspiracy involving patients who never wake up,Robin Cook
Historical Fiction Art War,The Night Watch,A tale of love courage and art in Amsterdam during wartime,Sarah Waters
Historical Fiction Family Saga,Homegoing,Two sisters and their descendants face the lasting scars of slavery,Yaa Gyasi
Horror Folk Mystery,The Ritual,A group of friends encounter an ancient evil in the Scandinavian forest,Adam Nevill
Horror Mystery Supernatural,The Others,A mother suspects ghosts haunt her isolated mansion,Nicole Trant
Adventure Fantasy Heroic,Eragon,A farm boy discovers a dragon egg and becomes the first dragon rider in centuries,Christopher Paolini
Adventure Mystery Legend,The Lost Symbol,A professor follows ancient clues hidden in Washington DC,Dan Brown
Drama Romance Ambition,The Great Gatsby,A mysterious millionaire pursues lost love in the glittering Jazz Age,F Scott Fitzgerald
Drama War History,The English Patient,Four people find love and loss in an Italian villa during World War Two,Michael Ondaatje
Philosophy Society Dystopia,Fahrenheit 451,A man tasked with burning books begins to question his reality,Ray Bradbury
Philosophy Psychology Fiction,Crime and Punishment,A man battles guilt and morality after committing a terrible crime,Fyodor Dostoevsky
